question,answer
hi,Hello! How can I help you?
hello,Hi there!
hey,Hey! What do you want to know?
what is your name,I am a college chatbot.
who created you,I was created by Rutuja Nikam.
bye,Goodbye! Have a nice day.
thanks,You're welcome!

what is college name,Our college name is Dr. J. J. Magdum College of engineering.
where is college located,The college is located in Jaysingpur city.
what courses are available,We offer Btech Mtech for civil and MCA courses.
what is admission process,You need to fill admission form and submit documents.
what are college timings,College timing is 9:30 AM to 4:30 PM.
is there library facility,Yes library is available for students.
is there hostel facility,Yes hostel is available.
what is fee structure,Fee depends on the course you choose.
who is principal,Principal details are available at office.

where is office,Office is near main building.
how to contact college,You can contact via phone or email.
is there parking,Yes parking is available.
is there wifi,Yes college provides wifi.

what is python,Python is a programming language.
what is chatbot,A chatbot is a program that talks with users.